haplogroup	header
HG1	5050_Южный_Урал_Игнатьевская_47500
HG2	5060_Южный_Урал_Игнатьевская_62300
HG3	5210_Алтай_Денисова_Пещера_117500
HG4	5110_Южный_Урал_Тип-Тугай_45969
HG5	5270_Хакасия_Минусинкая_котловина_40000
HG6	JF894376.1_Hyaena_hyaena_isolate_Cerza_mitochondrion,_complete_genome
HG7	MH662445.1_Proteles_cristata_isolate_Aardwolf15_mitochondrion,_complete_genome
HG6	NC_020669.1_Hyaena_hyaena_isolate_Cerza_mitochondrion,_complete_genome
HG8	NC_038159.1_Parahyaena_brunnea_isolate_BH_love_mitochondrion,_complete_genome
HG9	5040_Южный_Урал_Игнатьевская_40240
HG10	5140_Хакасия_Минусинкая_котловина_48428
HG11	5090_Южный_Урал_Усть-Катавская_59200
HG12	JF894377.1_Crocuta_crocuta_isolate_Kira_mitochondrion,_complete_genome
HG13	MN320463.1_Crocuta_crocuta_mitochondrion,_complete_genome
HG14	MN320464.1_Crocuta_crocuta_mitochondrion,_complete_genome
HG15	JF894378.1_Crocuta_crocuta_isolate_CC8_mitochondrion,_complete_genome
HG15	JF894379.1_Crocuta_crocuta_isolate_CC9_mitochondrion,_complete_genome
HG15	MN320459.1_Crocuta_crocuta_from_Germany_mitochondrion,_partial_genome
HG16	920_Хакасия_Инейская_43589
HG17	920_2_Хакасия_Инейская_43589
HG18	5250_Алтай_Денисова_Пещера_95000
HG19	5170_Алтай_Денисова_Пещера_117500
HG20	5240_Алтай_Денисова_Пещера_117500
HG21	MN320467.1_Crocuta_crocuta_mitochondrion,_complete_genome
HG22	MN320458.1_Crocuta_crocuta_from_Ukraine_mitochondrion,_partial_genome
HG23	5260_Алтай_Денисова_Пещера_95000
HG24	MN320456.1_Crocuta_crocuta_from_Slovakia_mitochondrion,_partial_genome
HG24	MN320461.1_Crocuta_crocuta_from_Germany_mitochondrion,_partial_genome
HG24	MN320462.1_Crocuta_crocuta_from_Germany_mitochondrion,_partial_genome
HG25	MN320449.1_Crocuta_crocuta_mitochondrion,_complete_genome
HG26	MN320465.1_Crocuta_crocuta_mitochondrion,_complete_genome
HG27	MN320466.1_Crocuta_crocuta_mitochondrion,_complete_genome
HG28	MN320450.1_Crocuta_crocuta_mitochondrion,_complete_genome
HG29	MN320452.1_Crocuta_crocuta_mitochondrion,_complete_genome
HG30	MN320453.1_Crocuta_crocuta_mitochondrion,_complete_genome
HG30	MN320454.1_Crocuta_crocuta_mitochondrion,_complete_genome
HG30	MN320455.1_Crocuta_crocuta_mitochondrion,_complete_genome
HG31	MN320451.1_Crocuta_crocuta_mitochondrion,_complete_genome
HG32	MT880602.1_Crocuta_crocuta_isolate_CADG508_mitochondrion,_partial_genome
HG33	MT880603.1_Crocuta_crocuta_isolate_CADG510_mitochondrion,_partial_genome
HG34	MN320457.1_Crocuta_crocuta_from_China_mitochondrion,_partial_genome
HG35	MN320460.1_Crocuta_crocuta_from_Russia_mitochondrion,_partial_genome
