index,header,observed_age_bp,inferred_age_bp,confidence,sequence_length,haplogroup
4,5270_Хакасия_Минусинкая_котловина_40000,40000,40000.0,1.000,13260,HG5
9,5040_Южный_Урал_Игнатьевская_40240,40240,40240.0,1.000,13260,HG9
18,920_Хакасия_Инейская_43589,43589,43589.0,1.000,13260,HG16
19,920_2_Хакасия_Инейская_43589,43589,43589.0,1.000,13260,HG17
30,"MN320465.1_Crocuta_crocuta_mitochondrion,_complete_genome",,45725.32,0.147,13260,HG26
3,5110_Южный_Урал_Тип-Тугай_45969,45969,45969.0,1.000,13260,HG4
0,5050_Южный_Урал_Игнатьевская_47500,47500,47500.0,1.000,13260,HG1
10,5140_Хакасия_Минусинкая_котловина_48428,48428,48428.0,1.000,13260,HG10
15,"JF894378.1_Crocuta_crocuta_isolate_CC8_mitochondrion,_complete_genome",,48637.49,0.281,13260,HG15
16,"JF894379.1_Crocuta_crocuta_isolate_CC9_mitochondrion,_complete_genome",,49422.21,0.184,13260,HG15
37,"MN320451.1_Crocuta_crocuta_mitochondrion,_complete_genome",,50697.52,0.454,13260,HG31
35,"MN320454.1_Crocuta_crocuta_mitochondrion,_complete_genome",,50710.08,0.454,13260,HG30
36,"MN320455.1_Crocuta_crocuta_mitochondrion,_complete_genome",,50710.08,0.454,13260,HG30
31,"MN320466.1_Crocuta_crocuta_mitochondrion,_complete_genome",,52448.99,0.050,13260,HG27
17,"MN320459.1_Crocuta_crocuta_from_Germany_mitochondrion,_partial_genome",,54206.18,0.137,13260,HG15
14,"MN320464.1_Crocuta_crocuta_mitochondrion,_complete_genome",,55414.16,0.067,13260,HG14
13,"MN320463.1_Crocuta_crocuta_mitochondrion,_complete_genome",,57377.48,0.113,13260,HG13
5,"JF894376.1_Hyaena_hyaena_isolate_Cerza_mitochondrion,_complete_genome",,58415.78,0.076,13260,HG6
11,5090_Южный_Урал_Усть-Катавская_59200,59200,59200.0,1.000,13260,HG11
33,"MN320452.1_Crocuta_crocuta_mitochondrion,_complete_genome",,61467.69,0.050,13260,HG29
1,5060_Южный_Урал_Игнатьевская_62300,62300,62300.0,1.000,13260,HG2
29,"MN320449.1_Crocuta_crocuta_mitochondrion,_complete_genome",,66883.14,0.060,13260,HG25
23,"MN320467.1_Crocuta_crocuta_mitochondrion,_complete_genome",,71279.37,0.050,13260,HG21
28,"MN320462.1_Crocuta_crocuta_from_Germany_mitochondrion,_partial_genome",,73829.15,0.050,13260,HG24
27,"MN320461.1_Crocuta_crocuta_from_Germany_mitochondrion,_partial_genome",,76139.4,0.140,13260,HG24
6,"MH662445.1_Proteles_cristata_isolate_Aardwolf15_mitochondrion,_complete_genome",,77185.97,0.061,13260,HG7
32,"MN320450.1_Crocuta_crocuta_mitochondrion,_complete_genome",,79545.77,0.050,13260,HG28
24,"MN320458.1_Crocuta_crocuta_from_Ukraine_mitochondrion,_partial_genome",,80599.04,0.050,13260,HG22
40,"MN320457.1_Crocuta_crocuta_from_China_mitochondrion,_partial_genome",,80742.39,0.452,13260,HG34
39,"MT880603.1_Crocuta_crocuta_isolate_CADG510_mitochondrion,_partial_genome",,80759.79,0.452,13260,HG33
38,"MT880602.1_Crocuta_crocuta_isolate_CADG508_mitochondrion,_partial_genome",,80780.02,0.452,13260,HG32
41,"MN320460.1_Crocuta_crocuta_from_Russia_mitochondrion,_partial_genome",,81158.49,0.452,13260,HG35
8,"NC_038159.1_Parahyaena_brunnea_isolate_BH_love_mitochondrion,_complete_genome",,81523.91,0.146,13260,HG8
34,"MN320453.1_Crocuta_crocuta_mitochondrion,_complete_genome",,81713.02,0.050,13260,HG30
7,"NC_020669.1_Hyaena_hyaena_isolate_Cerza_mitochondrion,_complete_genome",,83621.8,0.050,13260,HG6
26,"MN320456.1_Crocuta_crocuta_from_Slovakia_mitochondrion,_partial_genome",,90958.99,0.093,13260,HG24
12,"JF894377.1_Crocuta_crocuta_isolate_Kira_mitochondrion,_complete_genome",,91904.2,0.050,13260,HG12
20,5250_Алтай_Денисова_Пещера_95000,95000,95000.0,1.000,13260,HG18
25,5260_Алтай_Денисова_Пещера_95000,95000,95000.0,1.000,13260,HG23
2,5210_Алтай_Денисова_Пещера_117500,117500,117500.0,1.000,13260,HG3
21,5170_Алтай_Денисова_Пещера_117500,117500,117500.0,1.000,13260,HG19
22,5240_Алтай_Денисова_Пещера_117500,117500,117500.0,1.000,13260,HG20
