hap_id	member_header
H1	JF894378.1_Crocuta_crocuta_isolate_CC8_mitochondrion,_complete_genome
H1	JF894379.1_Crocuta_crocuta_isolate_CC9_mitochondrion,_complete_genome
H1	MN320459.1_Crocuta_crocuta_from_Germany_mitochondrion,_partial_genome
H2	MN320453.1_Crocuta_crocuta_mitochondrion,_complete_genome
H2	MN320454.1_Crocuta_crocuta_mitochondrion,_complete_genome
H2	MN320455.1_Crocuta_crocuta_mitochondrion,_complete_genome
H3	MN320456.1_Crocuta_crocuta_from_Slovakia_mitochondrion,_partial_genome
H3	MN320461.1_Crocuta_crocuta_from_Germany_mitochondrion,_partial_genome
H3	MN320462.1_Crocuta_crocuta_from_Germany_mitochondrion,_partial_genome
H4	JF894376.1_Hyaena_hyaena_isolate_Cerza_mitochondrion,_complete_genome
H4	NC_020669.1_Hyaena_hyaena_isolate_Cerza_mitochondrion,_complete_genome
H5	NC_038159.1_Parahyaena_brunnea_isolate_BH_love_mitochondrion,_complete_genome
H6	MN320458.1_Crocuta_crocuta_from_Ukraine_mitochondrion,_partial_genome
H7	MT880602.1_Crocuta_crocuta_isolate_CADG508_mitochondrion,_partial_genome
H8	920_Хакасия_Инейская_43589
H9	920_2_Хакасия_Инейская_43589
H10	MT880603.1_Crocuta_crocuta_isolate_CADG510_mitochondrion,_partial_genome
H11	MN320457.1_Crocuta_crocuta_from_China_mitochondrion,_partial_genome
H12	MN320460.1_Crocuta_crocuta_from_Russia_mitochondrion,_partial_genome
H13	MN320451.1_Crocuta_crocuta_mitochondrion,_complete_genome
H14	MN320463.1_Crocuta_crocuta_mitochondrion,_complete_genome
H15	MN320464.1_Crocuta_crocuta_mitochondrion,_complete_genome
H16	5260_Алтай_Денисова_Пещера_95000
H17	5090_Южный_Урал_Усть-Катавская_59200
H18	5110_Южный_Урал_Тип-Тугай_45969
H19	5050_Южный_Урал_Игнатьевская_47500
H20	5040_Южный_Урал_Игнатьевская_40240
H21	5060_Южный_Урал_Игнатьевская_62300
H22	JF894377.1_Crocuta_crocuta_isolate_Kira_mitochondrion,_complete_genome
H23	5270_Хакасия_Минусинкая_котловина_40000
H24	5170_Алтай_Денисова_Пещера_117500
H25	5250_Алтай_Денисова_Пещера_95000
H26	5210_Алтай_Денисова_Пещера_117500
H27	5240_Алтай_Денисова_Пещера_117500
H28	MN320449.1_Crocuta_crocuta_mitochondrion,_complete_genome
H29	MN320466.1_Crocuta_crocuta_mitochondrion,_complete_genome
H30	MN320465.1_Crocuta_crocuta_mitochondrion,_complete_genome
H31	MN320450.1_Crocuta_crocuta_mitochondrion,_complete_genome
H32	MN320452.1_Crocuta_crocuta_mitochondrion,_complete_genome
H33	MN320467.1_Crocuta_crocuta_mitochondrion,_complete_genome
H34	5140_Хакасия_Минусинкая_котловина_48428
H35	MH662445.1_Proteles_cristata_isolate_Aardwolf15_mitochondrion,_complete_genome
